operator,pcell,freq
310410,5110-385,850_S
310410,850-189,1975_S
310410,5110-389,1975_S
310410,850-206,9820_S
310410,850-196,1975_S
310410,9820-274,850_S
310410,850-338,9720_S
310410,850-470,9820_S
310410,850-203,9820_S
310410,850-203,9820_S
310410,850-457,9720_S
310410,850-316,1975_S
310410,850-87,1975_S
