operator,pcell
tmobile,40072-53
tmobile,39874-101
tmobile,39874-228
tmobile,39874-49
tmobile,40072-467
tmobile,39874-321
tmobile,39874-53
tmobile,40072-7
tmobile,39874-232
tmobile,39874-225
tmobile,40072-220
tmobile,40072-225
tmobile,39874-45
tmobile,39874-309
tmobile,39874-367
