2019-04-23 16:57:19.488183 185001110 PCI 259 EARFCN 9820 675 False True sib3 True 4 3 ATT TAC 20481 722660 [-666, -666]
2019-04-23 16:57:19.488183 185001110 PCI 259 EARFCN 9820 975 False True sib3 True 4 3 ATT TAC 20481 722660 [-666, -666]
2019-04-24 01:57:21.378800 185020311 PCI 240 EARFCN 9820 2000 False True sib3 True 4 3 ATT TAC 20481 722735 [-666, -666]
2019-04-24 01:57:21.378800 185020311 PCI 240 EARFCN 9820 675 False True sib3 True 4 3 ATT TAC 20481 722735 [-666, -666]
2019-04-23 19:36:30.740130 184860823 PCI 200 EARFCN 9820 675 False True sib3 True 4 3 ATT TAC 20481 722112 [-666, -666]
2019-04-23 16:21:55.091092 185020311 PCI 240 EARFCN 9820 2000 False True sib3 True 4 3 ATT TAC 20481 722735 [-666, -666]
2019-04-23 16:21:55.091092 185020311 PCI 240 EARFCN 9820 675 False True sib3 True 4 3 ATT TAC 20481 722735 [-666, -666]
2019-04-23 19:18:34.143954 185018261 PCI 302 EARFCN 9820 2000 False True sib3 True 4 3 ATT TAC 20481 722727 [-666, -666]
2019-04-23 19:18:34.143954 185018261 PCI 302 EARFCN 9820 675 False True sib3 True 4 3 ATT TAC 20481 722727 [-666, -666]
2019-04-23 19:18:34.143954 185018261 PCI 302 EARFCN 9820 975 False True sib3 True 4 3 ATT TAC 20481 722727 [-666, -666]
2019-04-23 19:19:37.263954 185001111 PCI 258 EARFCN 9820 2000 False True sib3 True 4 3 ATT TAC 20481 722660 [-666, -666]
2019-04-23 19:19:37.263954 185001111 PCI 258 EARFCN 9820 675 False True sib3 True 4 3 ATT TAC 20481 722660 [-666, -666]
2019-04-23 19:19:37.263954 185001111 PCI 258 EARFCN 9820 975 False True sib3 True 4 3 ATT TAC 20481 722660 [-666, -666]
2019-04-23 21:16:37.225579 185020311 PCI 240 EARFCN 9820 2000 False True sib3 True 4 3 ATT TAC 20481 722735 [-666, -666]
2019-04-23 21:16:37.225579 185020311 PCI 240 EARFCN 9820 675 False True sib3 True 4 3 ATT TAC 20481 722735 [-666, -666]
2019-05-30 15:38:15.420550 56076311 PCI 420 EARFCN 2200 9840 False True sib3 True 4 3 ATT TAC 16684 219048 [-666, -666]
2019-05-30 13:57:28.354634 56130071 PCI 239 EARFCN 2200 9840 False True sib3 True 4 3 ATT TAC 16675 219258 [-666, -666]
2019-08-06 15:49:22.106561 55159318 PCI 205 EARFCN 2200 850 False True sib3 True 4 7 ATT TAC 16389 215466 [-666, -666]
2019-08-06 15:49:22.106561 55159318 PCI 205 EARFCN 2200 2425 False True sib3 True 4 7 ATT TAC 16389 215466 [-666, -666]
2019-08-06 15:49:22.106561 55159318 PCI 205 EARFCN 2200 2000 False True sib3 True 4 7 ATT TAC 16389 215466 [-666, -666]
2019-08-06 16:46:30.795187 55159318 PCI 205 EARFCN 2200 850 False True sib3 True 4 7 ATT TAC 16389 215466 [-666, -666]
2019-08-06 16:46:30.795187 55159318 PCI 205 EARFCN 2200 2425 False True sib3 True 4 7 ATT TAC 16389 215466 [-666, -666]
2019-08-06 16:46:30.795187 55159318 PCI 205 EARFCN 2200 2000 False True sib3 True 4 7 ATT TAC 16389 215466 [-666, -666]
2019-04-19 16:13:19.765153 185520790 PCI 98 EARFCN 9820 675 False True sib3 True 4 3 ATT TAC 20486 724690 [-666, -666]
2019-04-19 16:13:19.765153 185520790 PCI 98 EARFCN 9820 2200 False True sib3 True 4 3 ATT TAC 20486 724690 [-666, -666]
