grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,mw_cell_num,sub6_cell_num,nr_bandwidth,avail_cell_num,sub6_cell_num,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100
-86.167,39.766,96,1100,311,176930,96,66586,96,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,10,0.001588815,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,1100,96,176930,96,66586,96,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,50,0.007944074,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,1100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,206,0.032729584,1147,206,0.179598954,105.7899278,25.25365984,20.04352,71.0112,97.27136,108.27424,120.5328,129.96928,182.67648
-86.167,39.766,311,1100,311,176930,233,47090,232,47291,231,47489,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,196,0.031140769,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,311,1100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,197,0.03129965,1147,197,0.171752398,102.2040674,30.59557765,0.11072,55.541344,88.38656,109.16416,120.94912,131.453824,179.82464
-86.167,39.766,311,1100,311,176930,233,47090,232,47291,231,47489,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,173,0.027486495,1147,9,0.007846556,0.30672,0,0.30672,0.30672,0.30672,0.30672,0.30672,0.30672,0.30672
-86.167,39.766,311,66586,311,176930,311,66836,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,662,0.105179536,1147,168,0.14646905,41.38535429,16.09914182,0.3392,19.574304,31.37536,43.19728,53.07152,60.386784,85.93024
-86.167,39.766,311,66586,311,176930,311,67086,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,687,0.109151573,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,311,66836,311,176930,311,66586,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,158,0.025103273,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,311,66836,311,176930,311,67086,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,332,0.05274865,1147,130,0.113339146,38.28143754,26.68310821,0.12096,2.49192,8.26588,40.18848,63.27986,68.871704,103.916
