grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,mw_cell_num,sub6_cell_num,nr_bandwidth,avail_cell_num,sub6_cell_num,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100
-86.1665,39.77,90,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,8,745,4,0.005369127516778523,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.77,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,8,745,3,0.004026845637583893,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7705,152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,91,34,0.37362637362637363,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7705,47,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,91,48,0.5274725274725275,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7705,90,66736,201,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,91,2,0.02197802197802198,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7705,90,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,91,4,0.04395604395604396,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7705,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,91,3,0.03296703296703297,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.771,152,66736,302,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,536,9,0.016791044776119403,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.771,152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,536,114,0.2126865671641791,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.771,152,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,536,3,0.005597014925373134,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.771,47,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,536,23,0.04291044776119403,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.771,58,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,536,256,0.47761194029850745,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.771,58,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,536,3,0.005597014925373134,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.771,90,66736,201,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,536,100,0.1865671641791045,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.771,90,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,536,3,0.005597014925373134,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.771,97,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,536,25,0.04664179104477612,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7715,12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,6,2452,172,0.0701468189233279,1663,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7715,152,66736,302,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,6,2452,379,0.15456769983686786,1663,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7715,12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,6,2452,198,0.08075040783034258,1663,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7715,152,66736,144,519630,47,677,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,6,2452,11,0.004486133768352365,1663,11,0.00661455201443175,152.37701818181816,86.24119043602117,83.86559999999999,91.55328,91.84448,99.12447999999999,204.59712,300.16895999999997,311.23456,
-86.1665,39.7715,152,66736,302,519630,47,677,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,6,2452,1652,0.6737357259380098,1663,1652,0.9933854479855683,99.37843050847458,49.51312558719641,0.11648,29.609216000000004,63.88928000000001,101.22111999999998,134.85472,161.20832,251.13088,
-86.1665,39.7715,46,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,6,2452,38,0.015497553017944535,1663,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7715,97,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,6,2452,2,0.0008156606851549756,1663,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.772,12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,319,93,0.29153605015673983,46,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.772,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,319,34,0.10658307210031348,46,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.772,152,66736,302,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,319,15,0.047021943573667714,46,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.772,12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,319,67,0.21003134796238246,46,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.772,12,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,4,319,3,0.009404388714733543,46,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.772,152,66736,144,519630,47,677,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,319,46,0.14420062695924765,46,46,1.0,175.51510260869563,47.72377338233205,87.94239999999999,112.4032,143.35775999999998,172.3904,204.85920000000002,239.71584,291.08351999999996,
-86.1665,39.772,152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,319,17,0.05329153605015674,46,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.772,152,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,4,319,28,0.0877742946708464,46,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.772,46,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,4,319,16,0.050156739811912224,46,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7725,12,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,663,21,0.03167420814479638,48,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7725,12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,663,99,0.1493212669683258,48,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7725,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,663,21,0.03167420814479638,48,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7725,152,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,663,4,0.006033182503770739,48,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7725,12,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,663,24,0.03619909502262444,48,24,0.5,177.64500666666666,70.54537767104864,25.821279999999998,57.54112000000002,139.36832,195.33695999999998,222.3312,243.45484799999997,292.59776,
-86.1665,39.7725,12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,663,51,0.07692307692307693,48,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7725,152,66736,144,519630,47,677,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,663,20,0.030165912518853696,48,20,0.4166666666666667,133.89376,97.03617712080788,5.47456,10.191999999999998,23.26688,114.96575999999999,229.4656,242.27840000000003,291.31647999999996,
-86.1665,39.7725,152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,663,50,0.07541478129713423,48,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7725,152,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,663,373,0.5625942684766214,48,4,0.08333333333333333,209.63488,44.06727781563095,159.11167999999998,165.92576,176.14687999999998,202.20927999999998,235.69727999999998,259.28448000000003,275.00928,
-86.1665,39.773,12,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,1785,566,0.31708683473389354,741,520,0.7017543859649122,189.20339938461535,72.5943591695765,1.1616,83.05497600000001,152.77944000000002,183.5328,248.93087999999997,281.025888,350.45471999999995,
-86.1665,39.773,12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,1785,300,0.16806722689075632,741,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.773,12,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,3,1785,6,0.0033613445378151263,741,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.773,152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,1785,314,0.17591036414565828,741,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.773,12,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,1785,215,0.12044817927170869,741,215,0.2901484480431849,109.24577934883722,36.99442851421831,9.78432,76.108032,90.91264,104.71552,123.75999999999999,162.60608,208.96512,
