pcell,freq,thres_a1,thres_a2,count
1550-111,67086_S,-19.5,-17.0,1
1050-407,66586_S,-136.0,-122.0,1
1550-267,67086_S,-130.0,-118.0,1
1050-213,66586_S,-136.0,-116.0,1
1050-74,66586_S,-136.0,-120.0,1
5230-175,66536_S,-136.0,-126.0,1
