pcell,freq,thres_a1,thres_a2,count
40978-324,41176_S,-111.0,-105.0,1
41176-323,41176_S,-111.0,-105.0,1
40978-323,41176_S,-111.0,-105.0,1
41176-346,40978_S,-111.0,-105.0,1
8665-382,8665_S,-95.0,-78.0,1
8415-130,8415_S,-95.0,-78.0,1
